ChamberName, ChamberID, SampleName, ChamberContext, PoolingID, TotalNumberOfDroplets, Blue_Channel_SampleType, Blue_Channel_ProcessedDilutionStock, Blue_Channel_Concentration, Blue_Channel_NumberOfPositiveDroplets, Blue_Channel_NumberOfNegativeDroplets, Blue_Channel_ConcentrationStock_Min, Blue_Channel_ConcentrationStock_Max, Blue_Channel_ConcentrationStock_RelativeUncertainty, Green_Channel_SampleType, Green_Channel_ProcessedDilutionStock, Green_Channel_Concentration, Green_Channel_NumberOfPositiveDroplets, Green_Channel_NumberOfNegativeDroplets, Green_Channel_ConcentrationStock_Min, Green_Channel_ConcentrationStock_Max, Green_Channel_ConcentrationStock_RelativeUncertainty, Red_Channel_SampleType, Red_Channel_ProcessedDilutionStock, Red_Channel_Concentration, Red_Channel_NumberOfPositiveDroplets, Red_Channel_NumberOfNegativeDroplets, Red_Channel_ConcentrationStock_Min, Red_Channel_ConcentrationStock_Max, Red_Channel_ConcentrationStock_RelativeUncertainty
0500073-9-A2_005, 0500073-9-A2,5, , ,24968, U,1,1015,11198,13770,996.7,1034,1.88%, U,1,976.5,10878,14090,958,995.2,1.91%, U,1,2011,17284,7684,1979,2043,1.58%
0500073-9-B2_005, 0500073-9-B2,5, , ,24028, U,1,1025,10849,13179,1005,1044,1.91%, U,1,1029,10880,13148,1009,1048,1.91%, U,1,2060,16845,7183,2028,2094,1.60%
0496120-8-A1_005, 0496120-8-A1,5, , ,22515, U,1,957.7,9669,12846,938.5,977.2,2.02%, U,1,962.5,9705,12810,943.2,982,2.02%, U,1,1922,15214,7301,1890,1954,1.67%
0496120-8-B1_005, 0496120-8-B1,5, , ,21726, U,1,965.7,9388,12338,946,985.6,2.05%, U,1,970.4,9422,12304,950.7,990.4,2.05%, U,1,1941,14761,6965,1908,1974,1.70%
0496120-8-C1_005, 0496120-8-C1,5, , ,20545, U,1,988.1,9030,11515,967.6,1008,2.09%, U,1,977.2,8956,11589,956.8,997.8,2.10%, U,1,1962,14037,6508,1928,1996,1.75%
0496120-8-D1_005, 0496120-8-D1,5, , ,23804, U,1,978,10383,13421,959,997.2,1.95%, U,1,970.4,10323,13481,951.5,989.5,1.96%, U,1,1979,16342,7462,1948,2012,1.62%
0473872-5-A1_025, 0473872-5-A1,25, , ,24826, U,1,2692,19701,5125,2651,2734,1.55%, U,1,3044,20656,4170,2998,3092,1.55%, U,1,2724,19795,5031,2682,2767,1.55%
0473872-5-B1_025, 0473872-5-B1,25, , ,25236, U,1,2885,20583,4653,2841,2930,1.54%, U,1,3166,21290,3946,3118,3216,1.54%, U,1,2858,20509,4727,2815,2903,1.53%
0473872-5-C1_025, 0473872-5-C1,25, , ,25455, U,1,2707,20246,5209,2666,2749,1.53%, U,1,2998,21062,4393,2953,3045,1.53%, U,1,2710,20253,5202,2669,2751,1.53%
0473872-5-D1_025, 0473872-5-D1,25, , ,26210, U,1,2756,20997,5213,2715,2798,1.50%, U,1,3056,21837,4373,3010,3102,1.51%, U,1,2763,21020,5190,2722,2805,1.50%
0501347-0-A2_025, 0501347-0-A2,25, , ,22637, U,1,2642,17823,4814,2599,2685,1.62%, U,1,2877,18443,4194,2831,2924,1.62%, U,1,2640,17818,4819,2598,2683,1.62%
0501347-0-B2_025, 0501347-0-B2,25, , ,22789, U,1,2720,18159,4630,2676,2764,1.61%, U,1,2976,18804,3985,2928,3024,1.62%, U,1,2714,18144,4645,2671,2758,1.61%
0501347-0-C2_025, 0501347-0-C2,25, , ,22091, U,1,2739,17655,4436,2695,2785,1.64%, U,1,2946,18161,3930,2898,2995,1.64%, U,1,2766,17724,4367,2721,2812,1.64%
0501347-0-D2_025, 0501347-0-D2,25, , ,22803, U,1,2688,18084,4719,2645,2732,1.61%, U,1,2963,18787,4016,2916,3012,1.62%, U,1,2674,18044,4759,2631,2717,1.61%
0501286-2-A1_035, 0501286-2-A1,35, , ,26008, U,1,1498,15196,10812,1473,1522,1.64%, U,1,1483,15103,10905,1459,1508,1.65%, U,1,1476,15057,10951,1452,1500,1.65%
0501286-2-B1_035, 0501286-2-B1,35, , ,24871, U,1,1515,14634,10237,1489,1540,1.67%, U,1,1489,14478,10393,1464,1514,1.68%, U,1,1492,14499,10372,1467,1517,1.68%
0501342-5-A3_035, 0501342-5-A3,35, , ,22077, U,1,1531,13078,8999,1504,1558,1.77%, U,1,1522,13028,9049,1495,1549,1.77%, U,1,1491,12862,9215,1464,1517,1.78%
0501342-5-B3_035, 0501342-5-B3,35, , ,22846, U,1,1545,13607,9239,1518,1572,1.74%, U,1,1516,13449,9397,1489,1542,1.75%, U,1,1533,13546,9300,1507,1560,1.74%
0501342-5-C3_035, 0501342-5-C3,35, , ,20317, U,1,1522,11991,8326,1494,1550,1.85%, U,1,1529,12024,8293,1501,1557,1.85%, U,1,1528,12021,8296,1500,1557,1.85%
0501342-5-D3_035, 0501342-5-D3,35, , ,21439, U,1,1498,12531,8908,1472,1526,1.81%, U,1,1496,12519,8920,1469,1523,1.81%, U,1,1494,12510,8929,1468,1522,1.81%
0501362-3-A2_052, 0501362-3-A2,52, , ,25400, U,1,1423,14369,11031,1399,1447,1.68%, U,1,1431,14418,10982,1407,1455,1.68%, U,1,1430,14412,10988,1406,1454,1.68%
0501362-3-B2_052, 0501362-3-B2,52, , ,23323, U,1,1474,13492,9831,1448,1500,1.74%, U,1,1479,13522,9801,1454,1505,1.74%, U,1,1460,13413,9910,1435,1486,1.74%
0501362-3-C2_052, 0501362-3-C2,52, , ,22527, U,1,1495,13147,9380,1469,1521,1.76%, U,1,1520,13282,9245,1493,1546,1.76%, U,1,1472,13021,9506,1446,1498,1.77%
0501362-3-D2_052, 0501362-3-D2,52, , ,23878, U,1,1482,13863,10015,1457,1508,1.72%, U,1,1504,13991,9887,1479,1530,1.71%, U,1,1476,13827,10051,1451,1502,1.72%
0496108-6-B4_052, 0496108-6-B4,52, , ,24373, U,1,1464,14039,10334,1439,1489,1.71%, U,1,1459,14010,10363,1434,1484,1.71%, U,1,1449,13951,10422,1425,1474,1.71%
0496108-6-C4_052, 0496108-6-C4,52, , ,23614, U,1,1466,13615,9999,1441,1492,1.73%, U,1,1476,13675,9939,1451,1502,1.73%, U,1,1453,13540,10074,1428,1479,1.74%
0496209-0-B3_246, 0496209-0-B3,246, , ,25576, U,1,2421,19386,6190,2384,2458,1.53%, U,1,3304,21886,3690,3254,3355,1.54%, U,1,2449,19489,6087,2412,2487,1.53%
0496209-0-C3_246, 0496209-0-C3,246, , ,25149, U,1,2496,19323,5826,2458,2534,1.54%, U,1,3348,21614,3535,3297,3401,1.56%, U,1,2562,19547,5602,2523,2602,1.54%
0496209-0-D3_246, 0496209-0-D3,246, , ,24965, U,1,2520,19263,5702,2481,2559,1.54%, U,1,3379,21518,3447,3327,3432,1.57%, U,1,2558,19389,5576,2519,2598,1.54%
0496107-9-A5_246, 0496107-9-A5,246, , ,24584, U,1,2314,18251,6333,2279,2351,1.56%, U,1,3160,20725,3859,3111,3210,1.56%, U,1,2322,18281,6303,2286,2359,1.56%
0496107-9-B5_246, 0496107-9-B5,246, , ,25294, U,1,2348,18907,6387,2313,2385,1.54%, U,1,3176,21361,3933,3128,3226,1.54%, U,1,2359,18948,6346,2323,2396,1.54%
0496107-9-C5_246, 0496107-9-C5,246, , ,22764, U,1,2502,17509,5255,2462,2542,1.62%, U,1,3324,19519,3245,3271,3380,1.64%, U,1,2514,17546,5218,2473,2555,1.62%
0496107-9-D5_246, 0496107-9-D5,246, , ,23111, U,1,2477,17699,5412,2438,2517,1.61%, U,1,3341,19848,3263,3287,3396,1.62%, U,1,2445,17595,5516,2406,2484,1.61%
0501361-6-A4_247, 0501361-6-A4,247, , ,23772, U,1,1953,16202,7570,1921,1985,1.63%, U,1,1970,16278,7494,1938,2002,1.62%, U,1,1958,16227,7545,1927,1990,1.62%
0501361-6-B4_247, 0501361-6-B4,247, , ,22195, U,1,2023,15413,6782,1989,2057,1.67%, U,1,2022,15409,6786,1988,2056,1.67%, U,1,2011,15367,6828,1978,2045,1.67%
0501361-6-C4_247, 0501361-6-C4,247, , ,19892, U,1,2056,13930,5962,2020,2093,1.76%, U,1,2032,13845,6047,1996,2068,1.77%, U,1,2046,13894,5998,2010,2082,1.76%
0501361-6-D4_247, 0501361-6-D4,247, , ,21682, U,1,1989,14922,6760,1955,2023,1.70%, U,1,1964,14825,6857,1931,1998,1.70%, U,1,1986,14910,6772,1952,2020,1.70%
0496118-5-A6_247, 0496118-5-A6,247, , ,21924, U,1,1861,14560,7364,1830,1894,1.71%, U,1,1837,14453,7471,1806,1869,1.71%, U,1,1853,14522,7402,1821,1885,1.71%
0496118-5-B6_247, 0496118-5-B6,247, , ,21112, U,1,1950,14378,6734,1916,1984,1.73%, U,1,1967,14446,6666,1933,2001,1.72%, U,1,1955,14399,6713,1922,1989,1.72%
0496118-5-C6_247, 0496118-5-C6,247, , ,20292, U,1,1986,13956,6336,1952,2021,1.75%, U,1,1997,13998,6294,1963,2033,1.75%, U,1,2013,14055,6237,1978,2049,1.75%
0496118-5-D6_247, 0496118-5-D6,247, , ,21232, U,1,2039,14804,6428,2004,2074,1.71%, U,1,1986,14603,6629,1952,2021,1.72%, U,1,1972,14546,6686,1938,2006,1.72%
